name,postcode,search_volume,
Agriculture,SO,10,
Banking,SO,100,
Charities,SO,100,
Children,SO,100,
Clinical negligence,SO,100,
Commercial litigation,SO,100,
Commercial property,SO,100,
Company and commercial,SO,100,
Construction,SO,100,
Consumer,SO,100,
Conveyancing - residential,SO,100,
Corporate finance,SO,100,
Crime - fraud,SO,100,
Crime - general,SO,100,
Debt and bankruptcy - personal,SO,100,
Debt recovery,SO,100,
Dispute resolution - civil mediation,SO,100,
Dispute resolution - commercial mediation,SO,100,
Employment,SO,100,
Environment,SO,10,
Family - general,SO,100,
Family - mediation,SO,100,
Immigration - nationality and citizenship,SO,100,
Information Technology,SO,100,
Insolvency and restructuring - business,SO,100,
Insurance,SO,100,
Intellectual property,SO,100,
Landlord and tenant - residential,SO,100,
Licensing gaming and betting,SO,100,
Litigation - general,SO,100,
Mental health,SO,100,
Mergers and acquisitions,SO,100,
Neighbour disputes,SO,100,
Personal injury,SO,500,
Planning,SO,100,
Private client - Probate,SO,100,
Private client - trusts,SO,100,
Private client - Wills,SO,100,
Professional negligence,SO,100,
Tax,SO,100,